Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
THE CENTRAL,"2,100,000",882.65,"2,379",04 Sep 2017,8 EU TONG SEN STREET #13-99,Resale,Strata,82,"25,610",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
PS100,"1,188,000",473.62,"2,508",05 Sep 2017,100 PECK SEAH STREET #08-17,Sub Sale,Strata,44,"27,000",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
THE CENTRAL,"1,618,000",635.08,"2,548",08 Sep 2017,6 EU TONG SEN STREET #09-15,Resale,Strata,59,"27,424",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
THE CENTRAL,"3,015,000","1,205.57","2,501",08 Sep 2017,8 EU TONG SEN STREET #11-90,Resale,Strata,112,"26,920",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
THE CENTRAL,"3,632,500","1,453.14","2,500",08 Sep 2017,8 EU TONG SEN STREET #11-89,Resale,Strata,135,"26,907",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
PRUDENTIAL TOWER,"18,950,000","5,715.68","3,315",13 Sep 2017,30 CECIL STREET #01-01,Resale,Strata,531,"35,687",Office,99 yrs from 15/01/1996,01,04,049712,Central Region,Downtown Core
GOLDEN WALL CENTRE,"800,000",398.27,"2,009",14 Sep 2017,89 SHORT STREET #04-03,Resale,Strata,37,"21,622",Office,Freehold,07,18,188216,Central Region,Rochor
PEOPLE'S PARK COMPLEX,"1,180,000",172.22,"6,852",14 Sep 2017,1 PARK ROAD #02-K73,Resale,Strata,16,"73,750",Office,99 yrs from 25/03/1968,01,05,059108,Central Region,Outram
GOLDEN WALL CENTRE,"1,500,000",968.76,"1,548",15 Sep 2017,89 SHORT STREET #08-04,Resale,Strata,90,"16,667",Office,Freehold,07,18,188216,Central Region,Rochor
VISION EXCHANGE,"1,252,000",516.67,"2,423",15 Sep 2017,2 VENTURE DRIVE #13-04,Resale,Strata,48,"26,083",Office,99 yrs from 10/06/2013,22,60,608526,West Region,Jurong East
