Project Name,Transacted Price ($),Strata/Land Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Strata/Land Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
ORION @ PAYA LEBAR,"2,025,000","2,411.14",840,25 Sep 2017,160 PAYA LEBAR ROAD #06-04,Resale,Strata,224,"9,040",Warehouse,Freehold,14,40,409022,Central Region,Geylang
CSI DISTRIBUTION CENTRE,"3,470,760","5,597.28",620,28 Sep 2017,"2 KIM CHUAN DRIVE #02-01,02,03",Resale,Strata,520,"6,675",Warehouse,Freehold,19,53,537080,North East Region,Hougang
CITILINK WAREHOUSE COMPLEX,"890,000","1,194.8",745,06 Oct 2017,102F PASIR PANJANG ROAD #08-04,Resale,Strata,111,"8,018",Warehouse,Freehold,05,11,118530,Central Region,Queenstown
I.BIZ CENTRE,"670,000","3,067.74",218,12 Oct 2017,32 OLD TOH TUCK ROAD #03-01,Resale,Strata,285,"2,351",Warehouse,30 yrs from 29/06/2011,21,59,597658,West Region,Clementi
CARROS CENTRE,"1,453,400","1,689.95",860,23 Oct 2017,60 JALAN LAM HUAT #05-70,Resale,Strata,157,"9,257",Warehouse,Freehold,25,73,737869,North Region,Sungei Kadut
SING INDUSTRIAL COMPLEX,"770,000","2,723.29",283,27 Oct 2017,32 ANG MO KIO INDUSTRIAL PARK 2 #01-05,Resale,Strata,253,"3,043",Warehouse,60 yrs from 18/10/1982,20,56,569510,North East Region,Serangoon
I.BIZ CENTRE,"908,000","2,809.4",323,30 Oct 2017,32 OLD TOH TUCK ROAD #01-14,Resale,Strata,261,"3,479",Warehouse,30 yrs from 29/06/2011,21,59,597658,West Region,Clementi
CARROS CENTRE,"1,419,556","1,689.95",840,01 Nov 2017,60 JALAN LAM HUAT #03-71,Resale,Strata,157,"9,042",Warehouse,Freehold,25,73,737869,North Region,Sungei Kadut
JOO SENG WAREHOUSE,"1,900,000","3,498.3",543,03 Nov 2017,3 UPPER ALJUNIED LINK #07-01,Resale,Strata,325,"5,846",Warehouse,Freehold,13,36,367902,Central Region,Toa Payoh
HILLVIEW WAREHOUSE,"850,000","1,862.17",456,07 Nov 2017,29 HILLVIEW TERRACE #04-03,Resale,Strata,173,"4,913",Warehouse,Freehold,23,66,669245,West Region,Bukit Batok
N.A.,"16,000,000","12,069.67","1,326",21 Nov 2017,10A JALAN AMPAS,Resale,Land,"1,121.3","14,269",Warehouse,Freehold,12,32,329511,Central Region,Novena
MACTECH BUILDING,"1,388,000","2,012.87",690,01 Dec 2017,2 KALLANG PUDDING ROAD #02-05,Resale,Strata,187,"7,422",Warehouse,Freehold,13,34,349307,Central Region,Geylang
HILLVIEW WAREHOUSE,"848,330","1,905.23",445,08 Dec 2017,29 HILLVIEW TERRACE #02-02,Resale,Strata,177,"4,793",Warehouse,Freehold,23,66,669245,West Region,Bukit Batok
GORDON WAREHOUSE BUILDING,"420,000","1,743.77",241,10 Dec 2017,9 KAKI BUKIT ROAD 2 #02-16,Resale,Strata,162,"2,593",Warehouse,60 yrs from 25/07/1981,14,41,417842,East Region,Bedok
ORION @ PAYA LEBAR,"1,500,000","1,711.48",876,15 Jan 2018,160 PAYA LEBAR ROAD #06-03,Resale,Strata,159,"9,434",Warehouse,Freehold,14,40,409022,Central Region,Geylang
NIPPON EXPRESS SINGAPORE BUILDING,"73,800,000","162,087.54",455,18 Jan 2018,40 ALPS AVENUE,Resale,Land,"15,058.3","4,901",Warehouse,30+30 yrs from 16/08/2005,17,49,498781,East Region,Changi  
VERTEX,"2,900,000","4,714.63",615,09 Feb 2018,33 UBI AVENUE 3 #01-27,Resale,Strata,438,"6,621",Warehouse,60 yrs from 01/01/2007,14,40,408868,Central Region,Geylang
CARROS CENTRE,"2,479,450","2,917.04",850,13 Feb 2018,60 JALAN LAM HUAT #03-08,Resale,Strata,271,"9,149",Warehouse,Freehold,25,73,737869,North Region,Sungei Kadut
CARROS CENTRE,"3,568,266","4,219.49",846,21 Feb 2018,"60 JALAN LAM HUAT #05-39,40",Resale,Strata,392,"9,103",Warehouse,Freehold,25,73,737869,North Region,Sungei Kadut
VERTEX,"1,650,000","2,884.75",572,28 Feb 2018,33 UBI AVENUE 3 #01-24,Resale,Strata,268,"6,157",Warehouse,60 yrs from 01/01/2007,14,40,408868,Central Region,Geylang
OXLEY BIZHUB,"1,018,168","1,894.46",537,28 Feb 2018,65 UBI ROAD 1 #04-42,Resale,Strata,176,"5,785",Warehouse,60 yrs from 15/11/2010,14,40,408729,Central Region,Geylang
QUARTZ INDUSTRIAL BUILDING,"2,900,000","5,209.78",557,12 Mar 2018,"5 UPPER ALJUNIED LINK #06-05,06",Resale,Strata,484,"5,992",Warehouse,Freehold,13,36,367903,Central Region,Toa Payoh
RUBY WAREHOUSE,"300,000","1,496.2",201,16 Mar 2018,8 KAKI BUKIT ROAD 2 #03-07,Resale,Strata,139,"2,158",Warehouse,60 yrs from 07/12/1981,14,41,417841,East Region,Bedok
TANNERY HOUSE,"1,168,800","1,948.28",600,22 Mar 2018,37 TANNERY LANE #02-04,Resale,Strata,181,"6,457",Warehouse,Freehold,13,34,347790,Central Region,Geylang
RUBY WAREHOUSE,"300,000","1,496.2",201,27 Mar 2018,8 KAKI BUKIT ROAD 2 #04-05,Resale,Strata,139,"2,158",Warehouse,60 yrs from 07/12/1981,14,41,417841,East Region,Bedok
GOLDEN WHEEL INDUSTRIAL BUILDING,"828,800","1,184.04",700,27 Mar 2018,50 KALLANG PUDDING ROAD #07-08,Resale,Strata,110,"7,535",Warehouse,Freehold,13,34,349326,Central Region,Geylang
TANNERY HOUSE,"1,651,000","2,540.3",650,28 Mar 2018,37 TANNERY LANE #04-08,Resale,Strata,236,"6,996",Warehouse,Freehold,13,34,347790,Central Region,Geylang
SHARELY WAREHOUSE BUILDING,"698,000","1,270.15",550,03 Apr 2018,51 TANNERY LANE #03-01,Resale,Strata,118,"5,915",Warehouse,Freehold,13,34,347798,Central Region,Geylang
UB. ONE,"748,000","1,302.44",574,04 Apr 2018,81 UBI AVENUE 4 #02-10,Resale,Strata,121,"6,182",Warehouse,60 yrs from 31/12/2008,14,40,408830,Central Region,Geylang
GENTING WAREHOUSE,"1,700,000","3,196.91",532,06 Apr 2018,45 GENTING LANE #02-02,Resale,Strata,297,"5,724",Warehouse,Freehold,13,34,349557,Central Region,Geylang
